 ,ar,pt-br,bg,cs,da,nl,en-gb,en-US,fi,fr,de,el,he,hu,id,it,ja,ko,no,pl,ro,ru,zh-cn,es,sv,th,zh-tw,tr,vi
usdk_request_created_description,تم إرسال رسالتك. إذا كان الرد مطلوبًا، فسنتصل بك بعد قليل.,"Sua mensagem foi enviada. Se uma resposta for necessária, entraremos em contato em breve.","Съобщението ви е изпратено. Ако е необходим отговор, скоро ще се свържем с вас.","Vaše zpráva byla odeslána. Pokud je potřeba odpověď, brzy se ozveme.","Din meddelelse blev sendt. Vi kontakter dig snarest, hvis et svar er nødvendigt.","Uw bericht is verzonden. Als een reactie nodig is, nemen we binnen korte tijd contact met u op.","Your message was sent. If a reply is needed, we'll be in touch shortly.","Your message was sent. If a reply is needed, we'll be in touch shortly.","Viestisi on lähetetty. Jos vastaus tarvitaan, otamme sinuun pian yhteyttä.","Votre message a été envoyé. S’il nécessite une réponse, nous reviendrons vers vous dans les plus brefs délais.","Ihre Nachricht wurde gesendet. Wenn eine Antwort erforderlich ist, werden wir uns in Kürze melden.","Το μήνυμά σας εστάλη. Αν χρειάζεται απάντηση, θα επικοινωνήσουμε σύντομα.","ההודעה שלך נשלחה. אם נדרשת תשובה, נהיה בקשר בהקדם.","Üzenetét elküldtük. Ha az üzenet választ igényel, akkor hamarosan felvesszük Önnel a kapcsolatot.","Pesan Anda terkirim. Jika diperlukan balasan, kami akan segera menghubungi Anda.","Messaggio inviato. Se necessario, ti contatteremo a breve con una risposta.",メッセージが送信されました。お返事が必要な場合は、担当者よりすぐにご返信いたします。,메시지를 보냈습니다. 답장이 필요하면 바로 연락드리겠습니다.,"Meldingen din ble sendt. Hvis vi trenger svar, tar vi snart kontakt.","Wysłano wiadomość. Jeśli jest potrzebna odpowiedź, wkrótce się z Tobą skontaktujemy.","Mesajul dumneavoastră a fost trimis. Dacă este necesar un răspuns, vă vom contacta în scurt timp.","Ваше сообщение отправлено. Если требуется ответ, мы скоро с вами свяжемся.",您的消息已发送。如果需要回复，我们将很快联系您。,"Su mensaje fue enviado. Si se necesita una respuesta, nos comunicaremos en breve.",Ditt meddelande har skickats. Om ett svar behövs kontaktar vi dig inom kort.,ส่งข้อความของคุณแล้ว หากต้องการให้ตอบกลับ เราจะติดต่อคุณในไม่ช้า,已傳送訊息。若需回覆，我們將盡快聯絡您。,Mesajınız gönderildi. Yanıt gerekirse kısa süre içinde iletişime geçeceğiz.,"Tin nhắn của bạn đã được gửi. Nếu cần câu trả lời, chúng tôi sẽ sớm liên hệ."
usdk_fail_connection_information,<b>[خطأ ZENDESK]</b>الاتصال <b>لم</b> ينجح. أعِد فحص معرِّف التطبيق أو معرّف العميل أو عنوان URL.,"<b>[ERRO DO ZENDESK]</b> Conexão <b>não</b> teve êxito. Verifique a ID do aplicativo, ID do cliente ou URL novamente.","<b>[ZENDESK – ГРЕШКА]</b>Връзката е <b>неуспешна</b>. Проверете отново идентификаторите на приложението, на клиента, и URL.","<b>[CHYBA ZENDESKU]</b>Připojení <b>nebylo</b> úspěšné. Znovu zkontrolujte ID aplikace, ID klienta nebo URL.","<b>[ZENDESK FEJL]</b>Forbindelsen <b>mislykkedes</b>. Kontrollér Applikations-id, Klient-id eller URL-adresse igen.","<b>[ZENDESK ERROR]</b>Verbinden <b>niet</b> voltooid. Controleer de toepassings-id, de klant-id of het webadres opnieuw.","<b>[ZENDESK ERROR]</b>Connection <b>not</b> successful. Check Application ID, Client ID or URL again.","<b>[ZENDESK ERROR]</b>Connection <b>not</b> successful. Check Application ID, Client ID or URL again.","<b>[ZENDESK-VIRHE]</b>Yhteys <b>ei</b> onnistunut. Tarkasta uudelleen sovelluksen tunnus, asiakkaan tunnus ja URL-osoite.","<b>[ERREUR ZENDESK]</b><b>Échec</b> de la connexion. Vérifiez l’ID de l’application, l’ID client ou l’URL.","<b>[ZENDESK-FEHLER]</b>Verbindung <b>nicht</b> erfolgreich. Überprüfen Sie die Anwendungs-ID, Client-ID oder URL erneut.","<b>[ΣΦΑΛΜΑ ZENDESK]</b>Η σύνδεση <b>δεν</b> ήταν επιτυχής. Ελέγξτε ξανά το αναγνωριστικό εφαρμογής, το αναγνωριστικό πελάτη ή το URL.","<b>[שגיאת ZENDESK]</b>החיבור <b>לא</b> הצליח. בדוק שוב את מזהה האפליקציה, את מזהה הלקוח ואת כתובת ה-URL.","<b>[ZENDESK-HIBA]</b>A csatlakozás <b>nem</b> sikerült. Ellenőrizze újra az alkalmazásazonosítót, a kliensazonosítót vagy az URL-címet.","<b>[KESALAHAN ZENDESK]</b>Koneksi <b>tidak</b> berhasil. Periksa ID Aplikasi, ID Klien, atau URL lagi.","<b>[ERRORE ZENDESK]</b>Connessione <b>non</b> riuscita. Controlla di nuovo ID applicazione, ID client o URL.",<b>[ZENDESK ERROR]</b>接続<b>が</b>完了していません。アプリケーションID、クライアントID、またはURLをもう一度ご確認ください。,"<b>[ZENDESK 오류]</b>연결되지 <b>않았습니다</b>. 애플리케이션 ID, 클라이언트 ID 또는 URL을 다시 확인하세요.","<b>[ZENDESK-FEIL]</b>Kunne <b>ikke</b> koble til. Kontroller applikasjons-ID, klient-ID eller URL-adressen på nytt.","<b>[BŁĄD ZENDESK]</b><b>Nie udało się</b> nawiązać połączenia. Jeszcze raz sprawdź ID aplikacji, ID klienta lub adres URL.","<b>[EROARE ZENDESK]</b>Conexiunea <b>nu</b> a reușit. Verificați din nou identificatorul aplicației, identificatorul clientului sau adresa URL.","<b>[ОШИБКА ZENDESK]</b><b>Неудачное</b> соединение. Проверьте ID приложения, ID клиента или URL-адрес.",<b>[ZENDESK 错误]</b>连接<b>不</b>成功。再次检查应用程序 ID、客户端 ID 或 URL。,"<b>[ERROR DE ZENDESK]</b>La conexión <b>no</b> se logró. Vuelva a verificar la ID de la aplicación, la ID del cliente o el URL.","<b>[ZENDESK-FEL]</b> Anslutningen lyckades <b>inte</b>. Kontrollera app-ID, klient-ID eller webbadressen igen.","<b>[ข้อผิดพลาด ZENDESK]</b>การเชื่อมต่อ<b>ไม่</b>สำเร็จ ตรวจสอบ ID แอปพลิเคชัน, ID ไคลเอ็นต์ หรือ URL อีกครั้ง",<b>[ZENDESK 錯誤]</b>連線<b>未</b>成功。再次檢查應用程式 ID、用戶端 ID 或 URL。,"<b>[ZENDESK HATASI]</b>Bağlantı <b>kurulamadı</b>. Uygulama No'yu, İstemci No'yu veya URL'yi yeniden kontrol edin.","<b>[LỖI CỦA ZENDESK]</b>Kết nối <b>không</b> thành công. Hãy kiểm tra lại ID ứng dụng, ID ứng dụng khách hoặc URL."
usdk_label_retry,إعادة المحاولة,Tentar novamente,Нов опит,Zkusit znovu,Prøv igen,Opnieuw,Retry,Retry,Yritä uudelleen,Réessayer,Erneut versuchen,Επανάληψη,נסה שוב,Újra,Coba lagi,Riprova,再試行,다시 시도,Prøv på nytt,Ponów próbę,Reîncercați,Повторить,重试,Volver a intentar,Försök igen,ลองอีกครั้ง,重試,Yeniden dene,Thử lại
usdk_back_button_label,السابق,Voltar,Назад,Zpět,Tilbage,Terug,Back,Back,Takaisin,Retour,Zurück,Προηγούμενο,הקודם,Vissza,Kembali,Indietro,戻る,뒤로,Tilbake,Wstecz,Înapoi,Назад,返回,Atrás,Bakåt,ย้อนกลับ,上一頁,Geri,Quay lại
usdk_locale_set_help_center_locale_message,<b>تحذير ZENDESK</b>الجهاز المحدد/الإعدادات المحلية المحددة غير مدعومة لكن الإعدادات المحلية لمركز المساعدة مدعومة، لذا تم ضبط الإعدادات المحلية على <b>{0}</b>,"<b>[AVISO DO ZENDESK]</b> Não há suporte para o dispositivo/localidade selecionada, nem para a localidade da Central de Ajuda, portanto, a localidade foi definida como <b>{0}</b>","<b>[ZENDESK – ПРЕДУПРЕЖДЕНИЕ]</b>Езикът на устройството или избраният език не се поддържат, но езикът на Помощния център се поддържа. Настройката за език е <b>{0}</b>","<b>[UPOZORNĚNÍ ZENDESKU]</b> Národní prostředí vybrané v zařízení není podporované, ale národní prostředí Centra nápovědy je podporované, takže bylo národní prostředí nastaveno na <b>{0}</b>","<b>[ZENDESK ADVARSEL]</b>Enhedens landestandard eller den valgte landestandard understøttes ikke, men landestandarden for Help Center understøttes, og derfor er landestandarden angivet som <b>{0}</b>","<b>[ZENDESK WARNING]</b> Het apparaat/de geselecteerde landinstellingen worden niet ondersteund, maar de landinstellingen van het Helpcenter worden wel ondersteund en de landinstellingen zijn ingesteld op <b>{0}</b>","<b>[ZENDESK WARNING]</b> The device/selected locale is not supported but the Help Centre locale is supported, so the locale is set to <b>{0}</b>","<b>[ZENDESK WARNING]</b> The device/selected locale is not supported but the Help Center locale is supported, so the locale is set to <b>{0}</b>","<b>[ZENDESK-VAROITUS]</b>Laitteeseen valittua kielialuetta ei tueta, mutta tukiportaalin kielialuetta tuetaan, joten kielialueeksi on asetettu <b>{0}</b>","<b>[AVERTISSEMENT ZENDESK]</b> La langue de l’appareil/sélectionnée n’est pas prise en charge mais la langue du Centre d’aide est prise en charge, la langue est donc configurée sur <b>{0}</b>",<b>[ZENDESK-WARNUNG]</b>Das Gerät/ausgewählte Gebietsschema wird im Gegensatz zum Help-Center-Gebietsschema nicht unterstützt; das Gebietsschema wird auf <b>{0}</b> gesetzt,"<b>[ΠΡΟΕΙΔΟΠΟΙΗΣΗ ZENDESK]</b>Οι τοπικές ρυθμίσεις της συσκευής/οι επιλεγμένες τοπικές ρυθμίσεις δεν υποστηρίζονται, αλλά οι τοπικές ρυθμίσεις του Κέντρου βοήθειας υποστηρίζονται, οπότε οι τοπικές ρυθμίσεις ορίστηκαν σε <b>{0}</b>","<b>[אזהרת ZENDESK]</b>האזור של המכשיר/האזור שנבחר לא נתמך, אבל אזור מרכז התמיכה כן נתמך, ולכן האזור נקבע להיות <b>{0}</b>","<b>[ZENDESK-FIGYELMEZTETÉS]</b> Az eszköz nyelvi beállítása vagy a kiválasztott nyelvi beállítás nem támogatott, a Súgóközpont nyelvi beállítása viszont igen, ezért a rendszer <b>{0}</b> értékre konfigurálta a nyelvi beállítást","<b>[PERINGATAN ZENDESK]</b> Bahasa setempat perangkat/pilihan tidak didukung tetapi bahasa setempat Pusat Bantuan didukung, sehingga bahasa setempat ditetapkan menjadi <b>{0}</b>","<b>[AVVERTENZA ZENDESK]</b> Le impostazioni locali selezionate o del dispositivo non sono supportate, mentre quelle del Centro assistenza lo sono; vengono così impostate su <b>{0}</b>",<b>[ZENDESK WARNING]</b> デバイスまたは選択したロケールはサポートされていませんが、ヘルプセンターのロケールはサポートされているため、ロケールは<b>{0}</b>に設定されています,<b>[ZENDESK 경고]</b>기기/선택한 로캘이 지원되지 않지만 헬프 센터 로켈이 지원되므로 로캘이 <b>{0}</b>(으)로 설정됩니다.,"<b>[ZENDESK-ADVARSEL]</b> Enheten/valgt språk støttes ikke, men Kundesenter-språket støttes, så språket er stilt på <b>{0}</b>","<b>[OSTRZEŻENIE ZENDESK]</b>Ustawienia regionalne urządzenia / wybrane ustawienia regionalne oraz ustawienia regionalne Centrum pomocy są obsługiwane, więc skonfigurowano następujące ustawienia regionalne: <b>{0}</b>","<b>[AVERTISMENT ZENDESK]</b> Setarea regională a dispozitivului/selectată nu este acceptată, dar setarea regională a Centrului de asistență este acceptată, deci setarea regională este configurată la <b>{0}</b>",<b>[ПРЕДУПРЕЖДЕНИЕ ZENDESK]</b>Язык устройства/выбранный язык и язык Справочного центра не поддерживаются; выбран язык: <b>{0}</b>,<b>[ZENDESK 警告]</b> 设备/选定的区域设置不受支持，但帮助中心区域设置受支持，因此区域设置已设置为 <b>{0}</b>,"<b>[ADVERTENCIA DE ZENDESK]</b>No se admite la configuración regional seleccionada ni la del dispositivo pero sí se admite la configuración regional del Centro de ayuda, por lo tanto la configuración regional se estableció en <b>{0}</b>","<b>[ZENDESK-VARNING]</b> Enhetens språkregion/den valda språkregionen stöds inte, men Helpcenter-språkregionen stöds så språkregionen anges som <b>{0}</b>",<b>[คำเตือน ZENDESK]</b>ระบบภาษาของอุปกรณ์/ระบบภาษาที่เลือกไม่ได้รับการรองรับ แต่ระบบภาษาของศูนย์ความช่วยเหลือได้รับการรองรับ ดังนั้นระบบภาษาถูกตั้งค่าเป็น <b>{0}</b>,<b>[ZENDESK 警告]</b> 不支援裝置/已選取的地區設定，但支援客服中心地區設定，因此地區設定已設定為 <b>{0}</b>,<b>[ZENDESK UYARISI]</b>Cihaz/seçilen yerel ayar desteklenmiyor ama Yardım Merkezi yerel ayarı desteklendiği için yerel ayar <b>{0}</b> yapıldı,"<b>[CẢNH BÁO CỦA ZENDESK]</b> Ngôn ngữ của Trung tâm trợ giúp được hỗ trợ nhưng ngôn ngữ của thiết bị/ngôn ngữ đã chọn không được hỗ trợ, do đó ngôn ngữ được đặt là <b>{0}</b>"
usdk_fill_url,يجب إدخال عنوان URL,A URL deve ser preenchida,Полето за URL трябва да се попълни,URL musí být vyplněné,URL-adresse skal udfyldes,Webadres moet worden ingevuld,URL must be filled,URL must be filled,URL-osoite on annettava,L’URL ne peut pas être vide,URL muss angegeben werden,Πρέπει να συμπληρωθεί το URL,חובה למלא את כתובת ה-URL,Az URL-címet kötelező kitölteni,URL harus diisi,URL deve avere un valore,URLを入力してください,URL을 입력해야 합니다.,URL-adresse må være utfylt,Trzeba podać adres URL,Adresa URL trebuie să fie completată,Следует указать URL-адрес,必须填写 URL,URL debe rellenarse,Webbadressen måste vara ifylld,ต้องกรอก URL,必須填入 URL,URL doldurulmalıdır,Phải điền URL
usdk_csat_question,كيف مرّت دردشتك اليوم؟,Como o seu chat funcionou hoje?,Мнението ви за чата днес?,Jaký byl dnes váš chat?,Hvordan gik din chat i dag?,Hoe ging uw chatgesprek vandaag?,How did your chat go today?,How did your chat go today?,Millainen chat-keskustelusi oli tänään?,Comment s’est passé votre chat aujourd’hui ?,Wie lief Ihr Chat heute?,Πώς πήγε η συνομιλία σήμερα;,איך היה הצ'אט?,Milyen volt a mai csevegés?,Bagaimana percakapan Anda hari ini?,Com’è stata la chat di oggi?,今日のチャットはいかがでしたか?,오늘 채팅이 어땠나요?,Hvordan var chatten i dag?,Jak przebiegł dziś czat?,Cum a ați evalua serviciul de chat de astăzi?,Как прошел сегодняшний чат?,您今天的在线交谈怎么样？,¿Cómo le fue con el chat hoy?,Hur fungerade din chatt i dag?,วันนี้แชทของคุณเป็นอย่างไร,您對今天的交談感覺如何？,Canlı desteğiniz bugün nasıldı?,Cuộc trò chuyện của bạn hôm nay diễn ra như thế nào?
usdk_help_center_description,هنا ستجد طلباتك بعد إرسالها.,"Após o envio, você encontra suas solicitações aqui.","Тук ще виждате заявките си, след като ги изпратите.","Tady najdete své požadavky, až je odešlete.","Det er her, du kan finde dine anmodninger, efter du sender dem.",Hier vindt u uw aanvragen nadat u deze hebt verzonden.,This is where you'll find your requests after you send them.,This is where you'll find your requests after you send them.,"Tämä on paikka, josta löydät pyyntösi niiden lähettämisen jälkeen.",C’est ici que vous trouverez les demandes que vous avez envoyées.,Hier finden Sie die von Ihnen gesendeten Anfragen.,Εδώ θα βρείτε τα αιτήματά σας μετά την αποστολή τους.,כאן יהיו הבקשות ששלחת.,Itt fogja megtalálni elküldésük után a kérelmeit.,Ini adalah tempat Anda akan menemukan permintaan yang telah Anda kirim.,Le richieste inviate appaiono qui.,リクエストを送信すると、リクエストがここに表示されます。,요청을 보낸 후 여기에서 확인하실 수 있습니다.,Her finner du forespørslene etter at du har sendt dem.,Tutaj znajdziesz swoje wysłane zlecenia.,"Aici veți găsi solicitările dumneavoastră, după ce le trimiteți.",Здесь будут показаны отправленные вами запросы.,当您发送请求之后，可以在这里找到这些请求。,Aquí se mostrarán sus solicitudes después de que las envíe.,Här hittar du dina förfrågningar efter att du har skickat dem.,นี่คือตำแหน่งที่คุณจะพบคำร้องขอหลังจากที่ส่ง,您可在此處找到已傳送的請求。,Gönderdiğiniz talepleri burada göreceksiniz.,Yêu cầu sẽ hiển thị ở đây sau khi bạn gửi.
usdk_attachment_is_already_selected,لقد تم تحديد هذا المرفق بالفعل,O anexo já está selecionado,Този файл за прикачване вече е избран,Tato příloha je už vybraná,Denne vedhæftede fil er allerede valgt,Deze bijlage is al geselecteerd,This attachment is already selected,This attachment is already selected,Tämä liite on jo valittu.,Cette pièce jointe est déjà sélectionnée,Dieser Anhang ist bereits ausgewählt,Αυτό το συνημμένο είναι ήδη επιλεγμένο,הקובץ המצורף הזה כבר נבחר,Ez a melléklet már ki van választva,Lampiran ini sudah dipilih,Questo allegato è già selezionato,添付ファイルは選択済みです。,이 첨부 파일은 이미 선택되었습니다.,Dette vedlegget er allerede valgt,Ten załącznik został już wybrany,Acest fișier atașat este deja selectat,Этот прикрепленный файл уже выбран,此附件已选择,Este archivo adjunto ya está seleccionado,Denna bilaga har redan valts,มีการเลือกไฟล์แนบนี้แล้ว,此附件已選取,Bu ek zaten seçildi,Tập tin đính kèm này đã được chọn
usdk_locale_csv_file_can_not_be_found,<b>خطأ ZENDESK</b>راجع ملف csv في مجلد Zendesk/Localization، لم يُعثر على الإعدادات المحلية,"<b>[ERRO DO ZENDESK]</b> Verifique o arquivo csv na pasta Zendesk/Localization, a localidade não pode ser encontrada",<b>[ZENDESK – ГРЕШКА]</b>Проверете csv файла в папката Zendesk/Localization; езикът не може да се открие,"<b>[CHYBA ZENDESKU]</b>Zkontrolujte soubor CSV ve složce Zendesk/Localization, národní prostředí nebylo nalezeno","<b>[ZENDESK FEJL]</b>Kontrollér csv-filen under Zendesk/Localization-mappen, landestandarden blev ikke fundet","<b>[ZENDESK ERROR]</b>Controleer het csv-bestand in de map Zendesk/Localization, landinstellingen niet gevonden","<b>[ZENDESK ERROR]</b>Check the csv file under Zendesk/Localisation folder, locale cannot be found","<b>[ZENDESK ERROR]</b>Check the csv file under Zendesk/Localization folder, locale can not be found","<b>[ZENDESK-VIRHE]</b>Tarkasta csv-tiedosto Zendesk/Localization-kansiosta, kielialuetta ei löydy","<b>[ERREUR ZENDESK]</b>Vérifiez le fichier CSV dans le dossier Zendesk/Localization, langue introuvable",<b>[ZENDESK-FEHLER]</b>Überprüfen Sie die CSV-Datei im Ordner „Zendesk/Localization“; Gebietsschema nicht gefunden,<b>[ΣΦΑΛΜΑ ZENDESK]</b>Ελέγξτε το αρχείο csv στον φάκελο Zendesk/Localization. Δεν ήταν δυνατή η εύρεση των τοπικών ρυθμίσεων,"<b>[שגיאת ZENDESK]</b>בדוק את קובץ ה-csv בתיקייה Zendesk/Localization, האזור לא נמצא",<b>[ZENDESK-HIBA]</b>Vizsgálja meg a Zendesk/Localization mappában található CSV-fájlt; a nyelvi beállítás nem található,"<b>[KESALAHAN ZENDESK]</b>Periksa file csv di bawah folder Zendesk/Localization, bahasa setempat tidak dapat ditemukan",<b>[ERRORE ZENDESK]</b>Controlla il file csv nella cartella Zendesk/Localization; impossibile trovare le impostazioni locali,<b>[ZENDESKエラー]</b>Zendesk/LocalizationフォルダにあるCSVファイルを確認してください。ロケールが見つかりません,<b>[ZENDESK 오류]</b>Zendesk/Localization 폴더에서 csv 파일을 확인하세요. 로캘을 찾을 수 없습니다.,"<b>[ZENDESK-FEIL]</b>Sjekk CSV-filen under Zendesk/Localization-mappen, fant ikke språket",<b>[BŁĄD ZENDESK]</b>Sprawdź plik csv w folderze Zendesk/Localization. Nie znaleziono ustawień regionalnych.,"<b>[EROARE ZENDESK]</b>Verificați fișierul csv în folderul Zendesk/Localization, nu s-a putut găsi setarea regională",<b>[ОШИБКА ZENDESK]</b>Проверьте csv-файл в папке Zendesk/Localization; язык не найден,<b>[ZENDESK 错误]</b>检查 Zendesk/Localization 文件夹下的 CSV 文件，找不到区域设置,<b>[ERROR DE ZENDESK]</b>Verifique el archivo csv en la carpeta Zendesk/Localization; no se puede encontrar la configuración regional,"<b>[ZENDESK-FEL]</b> Kontrollera csv-filen i mappen Zendesk/Localization, språkregionen kan inte hittas",<b>[ข้อผิดพลาด ZENDESK]</b>ตรวจสอบไฟล์ CSV ในโฟลเดอร์ Zendesk/Localization ไม่พบระบบภาษา,<b>[ZENDESK 錯誤]</b>檢查 Zendesk/Localization 資料夾下的 CSV 檔案，找不到地區設定,<b>[ZENDESK HATASI]</b>Zendesk/Localization klasöründeki csv dosyasını kontrol edin. Yerel ayar bulunamıyor.,"<b>[LỖI CỦA ZENDESK]</b>Hãy kiểm tra tập tin csv trong thư mục Zendesk/Localization, không tìm thấy ngôn ngữ"
usdk_file_permission_denied_generic,يسمح لنا ذلك بالوصول إلى ألبوم الكاميرا حتى يمكنك تحميل الصور. قم بتمكين الوصول من إعدادات التطبيق.,Isso concede acesso ao seu álbum para que você possa carregar fotos. Ative o acesso das configurações de seu aplicativo.,"Това ни позволява достъп до галерията ви, за да можете да качвате снимки. Разрешете достъпа от настройките на вашето приложение.","Tento způsob nám umožní přístup k vašim obrázkům, abyste mohli uploadovat fotky. Povolte přístup z nastavení aplikace.","Dette giver os adgang til dit fotogalleri, så du kan uploade fotos. Aktivér adgang fra dine appindstillinger.","Hiermee geeft u ons toegang tot uw fotogalerij, zodat u foto's kunt uploaden. Schakel toegang in via de app-instellingen.",This allows us to access your camera roll so you can upload photos. Enable access from your app settings.,This allows us to access your camera roll so you can upload photos. Enable access from your app settings.,"Näin voimme käyttää kamerasi kuvagalleriaa, jotta voit lähettää valokuvia. Salli käyttöoikeus sovelluksen asetuksista.",Cela nous permet d’accéder à votre galerie photo pour que vous puissiez charger des photos. Activez l’accès dans les paramètres de votre application.,"Dadurch erhalten wir Genehmigung, auf Ihre Fotos zuzugreifen, damit Sie Fotos hochladen können. Aktivieren Sie den Zugriff in den App-Einstellungen.","Αυτό μας δίνει τη δυνατότητα να αποκτήσουμε πρόσβαση στο άλμπουμ κάμεράς σας, ώστε να μπορείτε να αποστείλετε φωτογραφίες. Ενεργοποιήστε την πρόσβαση από τις ρυθμίσεις της εφαρμογής.","זה נותן לנו גישה לתמונות שצולמו במצלמה, ומאפשר לך להעלות תמונות. התר את הגישה בהגדרות האפליקציה.","Az engedély birtokában hozzáférhetünk fotókönyvtárához, így Ön fényképeket tölthet fel. Engedélyezheti a hozzáférést az alkalmazásbeállítások között.",Ini memungkinkan kami untuk mengakses rol kamera Anda sehingga Anda dapat mengunggah foto. Aktifkan akses dari pengaturan aplikasi Anda.,Questo ci permette di accedere alla libreria di foto per consentirti di caricare le foto. Abilita l’accesso dalle impostazioni dell’app.,写真をアップロードするには、カメラロールへのアクセスを許可する必要があります。アプリの設定からアクセスを有効にしてください。,이로써 사진을 업로드하실 수 있도록 회원님의 카메라 롤에 액세스할 수 있습니다. 앱 설정에서 액세스를 사용 설정하세요.,"Dette gjør at vi får tilgang til kamerarullen din, slik at bildene dine kan lastes opp. Aktiver tilgang i app-innstilingene.","Zapewnia nam to dostęp do galerii zdjęć, dzięki czemu możesz przesyłać zdjęcia. Włącz dostęp w ustawieniach aplikacji.","Aceasta ne permite să vă accesăm albumul camerei foto, pentru a putea să încărcați fotografii. Activați accesul din setările aplicației.","Это позволит нам обращаться к вашей фотогалерее, и вы сможете выкладывать фотографии. Включите доступ в настройках приложения.",这使我们可以访问您的本机照片以上传照片。从您的应用设置启用访问。,Esto nos permite acceder a su galería de fotos para que pueda cargar fotos. Active el acceso a la configuración de la aplicación.,Detta ger oss åtkomst till ditt bildgalleri så att du kan överföra bilder. Aktivera åtkomst via dina appinställningar.,การดำเนินการนี้ช่วยให้เราเข้าถึงม้วนฟิล์มของคุณเพื่อให้คุณสามารถอัปโหลดรูปถ่ายได้ เปิดใช้งานการเข้าถึงจากการตั้งค่าแอป,這將允許我們存取您的手機相簿，使您可上傳相片。從您的 app 設定值啟用存取。,"Bu, film rulonuza erişmemize izin vererek, fotoğrafları karşıya yüklemenize olanak sağlar. Uygulama ayarlarınızdan erişimi etkinleştirin.",Hoạt động này sẽ cho phép chúng tôi truy cập vào cuộn camera của bạn để bạn có thể tải ảnh lên. Hãy kích hoạt quyền truy cập từ cài đặt ứng dụng của bạn.
usdk_yesterday,أمس,Ontem,Вчера,Včera,I går,Gisteren,Yesterday,Yesterday,Eilen,Hier,Gestern,Χθες,אתמול,Tegnap,Kemarin,Ieri,昨日,어제,I går,Wczoraj,Ieri,Вчера,昨天,Ayer,I går,เมื่อวานนี้,昨天,Dün,Hôm qua
usdk_label_failed,لم يتم إرسال الرسالة,Mensagem não enviada,Съобщението не е изпратено,Zpráva nebyla odeslána,Meddelelsen blev ikke sendt,Bericht niet verzonden,Message not sent,Message not sent,Viestiä ei ole lähetetty,Le message n’a pas été envoyé.,Nachricht nicht gesendet,Το μήνυμα δεν εστάλη,ההודעה לא נשלחה,Az üzenet nincs elküldve,Pesan tidak dikirim,Messaggio non inviato,メッセージが送信されていません,메시지를 보내지 못했습니다.,Meldingen ble ikke sendt,Nie wysłano wiadomości,Mesaj netrimis,Сообщение не отправлено,消息未发送,Mensaje no enviado,Meddelandet skickades inte,ไม่ได้ส่งข้อความ,未傳送訊息,Mesaj gönderilmedi,Tin nhắn chưa được gửi
usdk_view_article_voted_failed_accessibility_announce,فشل التصويت,Erro ao enviar o voto,Неуспешно гласуване,Hlasování se nepovedlo,Afstemning mislykkedes,Stemmen mislukt,Vote failed,Vote failed,Äänestys epäonnistui,Échec du vote,Abstimmung fehlgeschlagen,Η υποβολή ψήφου απέτυχε,ההצבעה נכשלה,Sikertelen szavazás,Pemberian suara gagal,Voto non riuscito,投票できませんでした,투표하지 못했습니다.,Avstemmingen mislyktes,Niepowodzenie głosowania,Votarea a eșuat,Голос не засчитан,投票失败,Falló el voto,Det gick inte att rösta,โหวตไม่สำเร็จ,投票失敗,Oylanamadı,Không bình chọn được
usdk_see_all_articles,عرض كل المقالات ({0}),VER TODOS OS {0} ARTIGOS,ВИЖТЕ ВСИЧКИ СТАТИИ ({0}),ZOBRAZIT VŠECHNY ČLÁNKY ({0}),SE ALLE {0} ARTIKLER,ALLE {0} ARTIKELEN BEKIJKEN,SEE ALL {0} ARTICLES,SEE ALL {0} ARTICLES,KATSO KAIKKI {0} ARTIKKELIT,AFFICHER LES {0} ARTICLES,ALLE {0} BEITRÄGE ANZEIGEN,ΔΕΙΤΕ ΚΑΙ ΤΑ {0} ΑΡΘΡΑ,הצג את כל {0} המאמרים,MIND A(Z) {0} CIKK MEGTEKINTÉSE,LIHAT {0} ARTIKEL SELURUHNYA,MOSTRA TUTTI E {0} GLI ARTICOLI,全{0}件の記事をすべて表示,문서 {0}개 모두 보기,SE ALLE {0} ARTIKLER,WYŚWIETL WSZYSTKIE ARTYKUŁY ({0}),AFIȘARE TOATE {0} ARTICOLELE,ПОКАЗАТЬ ВСЕ СТАТЬИ: {0},查看所有 {0} 篇文章,VER LOS {0} ARTÍCULOS,SE ALLA {0} ARTIKLAR,ดูบทความ {0} ทั้งหมด,檢視所有 {0} 篇文章,{0} MAKALENİN HEPSİNİ GÖRÜNTÜLE,XEM TẤT CẢ {0} BÀI VIẾT
usdk_request_list_empty_create_request,إنشاء طلب,Criar uma solicitação,Създаване на заявка,Vytvořit požadavek,Opret en anmodning,Een aanvraag doen,Create a request,Create a request,Luo pyyntö,Créer une demande,Anfrage erstellen,Δημιουργία αιτήματος,צור בקשה,Kérelem létrehozása,Buat permintaan,Crea una richiesta,リクエストを作成,요청 만들기,Opprett en forespørsel,Utwórz zlecenie,Creați o solicitare,Создать запрос,创建请求,Crear una solicitud,Skapa en förfrågan,สร้างคำร้องขอ,建立請求,Talep oluştur,Tạo yêu cầu
